alpha_n,bond_type,expected_cost,cost_volatility,distress_prob,welfare,effective_yield,price
0.3,productivity,0.4487270951670146,0.04523501028085292,0.8995,4.950319507477232,0.02809858736596658,0.4487270951670146
0.5,productivity,0.4766263727735135,0.04931142338045177,0.964,5.301489605725126,0.03326864884687825,0.4766263727735135
0.7,productivity,0.5023245921882975,0.05363706837285993,0.9885,5.450578462395567,0.038025022095987356,0.5023245921882975
0.9,productivity,0.5241894150474974,0.056889808055598935,0.995,5.505662315568703,0.04206089769870315,0.5241894150474974
1.0,productivity,0.5333217480606686,0.05799931658875467,0.9965,5.522549589510193,0.04374059489669783,0.5333217480606686
