bond_type,expected_cost,cost_volatility,distress_prob,welfare,effective_yield,price
conventional,0.515005848997228,0.02013118703497706,0.119,1.1108163783801024,0.04,0.515005848997228
inflation_linked,0.48801973048595276,0.043488523804940483,0.695,3.966802233891418,0.03523267542298106,0.48801973048595276
gdp_linked,0.5137072579357146,0.05491905538184086,0.9085,5.062239463223781,0.040181441763485364,0.5137072579357146
productivity,0.5023245921882975,0.05363706837285993,0.8835,4.925578462395567,0.038025022095987356,0.5023245921882975
hybrid,0.5362153509863926,0.05760443167807274,0.963,5.3578518920843,0.044276367448490575,0.5362153509863926
