share,expected_cost,cost_volatility,distress_prob,welfare,effective_yield
0.0,0.515005848997228,0.02013118703497706,0.008,0.5558163783801024,0.04
0.05,0.5143717861567814,0.018363417121703324,0.006,0.5450462163335528,0.03990125110479937
0.1,0.5137377233163349,0.017009920431558204,0.013,0.5793163981025109,0.03980250220959874
0.15,0.5131036604758884,0.016175030310452334,0.033,0.6786269236869765,0.0397037533143981
0.2,0.5124695976354419,0.01594044308524698,0.0815,0.9204777930869499,0.039605004419197475
0.25,0.5118355347949953,0.016332046831851205,0.1285,1.154869006302431,0.039506255523996836
0.3,0.5112014719545488,0.017307388290420937,0.205,1.5368005633334194,0.039407506628796204
0.35,0.5105674091141023,0.018775716575056584,0.282,1.921272464179916,0.03930875773359557
0.4,0.5099333462736558,0.020632045078763896,0.357,2.29578470884192,0.03921000883839495
0.45,0.5092992834332093,0.022781723883658858,0.4325,2.672837297319432,0.03911125994319431
0.5,0.5086652205927628,0.0251496423402846,0.507,3.0449302296124516,0.039012511047993685
