bond_type,expected_cost,cost_volatility,distress_prob,welfare,effective_yield,price
conventional,1.1796517001248443,2.221001369016217e-16,0.0,1.1796517001248443,0.04,1.1796517001248443
inflation_linked,1.1367556903114675,0.07501084975997734,0.008,1.1880089454748952,0.03523267542298106,1.1367556903114675
gdp_linked,1.1811961934960646,0.10850472599509818,0.176,2.0847427446226074,0.040181441763485364,1.1811961934960646
productivity,1.1618149337336705,0.10063310181343199,0.151,1.9370689760948556,0.038025022095987356,1.1618149337336705
hybrid,1.2179912667895405,0.10960366648866343,0.302,2.752017194205057,0.044276367448490575,1.2179912667895405
