share,expected_cost,cost_volatility,distress_prob,welfare,effective_yield
0.45,1.1716251552488162,0.0452848958160444,0.0,1.175726598826956,0.03911125994319431
0.4,1.1725169935683748,0.0402532407253728,0.0,1.1757576403461645,0.03921000883839495
0.5,1.1707333169292573,0.05031655090671601,0.0,1.1757968275195536,0.039012511047993685
0.35,1.1734088318879334,0.0352215856347012,0.0,1.1758899520771786,0.03930875773359557
0.3,1.1743006702074923,0.030189930544029596,0.0,1.176123534019999,0.039407506628796204
0.25,1.175192508527051,0.025158275453357998,0.0,1.176458386174625,0.039506255523996836
0.2,1.1760843468466098,0.020126620362686396,0.0,1.1768945085410571,0.039605004419197475
0.15,1.1769761851661682,0.015094965272014801,0.0,1.1774319011192949,0.0397037533143981
0.1,1.1778680234857273,0.010063310181343198,0.0,1.1780705639093392,0.03980250220959874
0.05,1.1787598618052857,0.005031655090671601,0.0,1.1788104969111886,0.03990125110479937
0.0,1.1796517001248443,2.221001369016217e-16,0.0,1.1796517001248443,0.04
