metric,conventional,productivity,hybrid,prod_improvement,hybrid_improvement
expected_cost,0.515005848997228,0.5023245921882975,0.5362153509863926,-0.012681256808930508,0.021209501989164603
distress_prob,0.0,0.7055,0.877,0.7055,0.877
welfare,0.5158163783801024,4.035578462395567,4.9278518920843,3.519762084015465,4.412035513704198
