bond_type,expected_cost,cost_volatility,distress_prob,welfare,effective_yield,price
conventional,0.5153920210717937,0.019998842893570498,0.1105,1.0686919285059573,0.039999999999999994,0.5153920210717937
inflation_linked,0.4896067050216233,0.04335118519160762,0.669,3.8383653555366575,0.03545784195178535,0.4896067050216233
gdp_linked,0.5113536099642131,0.05284951691662403,0.885,4.941939752840854,0.039693560357936676,0.5113536099642131
productivity,0.49943637148104353,0.05222276829822054,0.8568,4.788890806538503,0.03743048598392325,0.49943637148104353
hybrid,0.5272321312010545,0.05449979206064891,0.9393,5.229672585870363,0.04254531791433378,0.5272321312010545
