metric,conventional,productivity,hybrid,prod_improvement,hybrid_improvement
expected_cost,0.5153920210717937,0.49943637148104353,0.5272321312010545,-0.015955649590750187,0.011840110129260784
distress_prob,0.1105,0.8817,0.9463,0.7712,0.8358
welfare,1.0686919285059573,4.913390806538503,5.264672585870363,3.844698878032546,4.195980657364405
