alpha_n,bond_type,expected_cost,cost_volatility,distress_prob,welfare,effective_yield,price
0.3,productivity,0.4487270951670146,0.04523501028085292,0.6535,3.7203195074772326,0.02809858736596658,0.4487270951670146
0.5,productivity,0.4766263727735135,0.04931142338045177,0.831,4.636489605725125,0.03326864884687825,0.4766263727735135
0.7,productivity,0.5023245921882975,0.05363706837285993,0.9185,5.100578462395568,0.038025022095987356,0.5023245921882975
0.9,productivity,0.5241894150474974,0.056889808055598935,0.967,5.365662315568703,0.04206089769870315,0.5241894150474974
1.0,productivity,0.5333217480606686,0.05799931658875467,0.9775,5.427549589510194,0.04374059489669783,0.5333217480606686
