theta_ai,conv_expected_cost,prod_expected_cost,cost_improvement,conv_distress,prod_distress,distress_improvement
0.05,1.1796517001248443,1.1618149337336705,-0.015120366790711298,0.0,0.1605,16050000.0
0.1,1.1796517001248443,1.1618149337336705,-0.015120366790711298,0.0,0.1575,15750000.0
0.15,1.1796517001248443,1.1618149337336705,-0.015120366790711298,0.0,0.156,15600000.0
0.2,1.1796517001248443,1.1618149337336705,-0.015120366790711298,0.0,0.155,15500000.0
0.25,1.1796517001248443,1.1618149337336705,-0.015120366790711298,0.0,0.154,15400000.0
0.3,1.1796517001248443,1.1618149337336705,-0.015120366790711298,0.0,0.151,15100000.0
0.4,1.1796517001248443,1.1618149337336705,-0.015120366790711298,0.0,0.1475,14749999.999999998
0.5,1.1796517001248443,1.1618149337336705,-0.015120366790711298,0.0,0.1455,14549999.999999998
