alpha_n,bond_type,expected_cost,cost_volatility,distress_prob,welfare,effective_yield,price
0.3,productivity,0.4498046866834471,0.04521397286850779,0.5677,3.2923932933685554,0.028252449887189942,0.4498046866834471
0.5,productivity,0.4766326214470888,0.04894997114801979,0.7731,4.346924820797873,0.03322120971991881,0.4766326214470888
0.7,productivity,0.49943637148104353,0.05222276829822054,0.8817,4.913390806538503,0.03743048598392325,0.49943637148104353
0.9,productivity,0.5165661612320274,0.05411866180574116,0.9323,5.183923820343316,0.040581547631010934,0.5165661612320274
1.0,productivity,0.5232443979749701,0.054681537527677855,0.9453,5.255724539067751,0.041807467600356474,0.5232443979749701
