alpha_n,expected_cost,distress_prob,welfare,effective_yield
0.3,1.0726726448797286,0.0075,1.12426218799889,0.02809858736596658
0.4,1.0962612720511948,0.02,1.2118462906060237,0.030725130424596587
0.5,1.1191030125775512,0.0495,1.3837696159627733,0.03326864884687825
0.6,1.141086558908745,0.0955,1.6373537773243187,0.03571654089265371
0.7,1.1618149337336705,0.151,1.9370689760948556,0.038025022095987356
0.8,1.1809132641328155,0.204,2.2224451476485365,0.040151686477171246
0.9,1.1980608015954295,0.255,2.495635608515012,0.04206089769870315
1.0,1.2131509254172117,0.2985,2.729013019277975,0.04374059489669783
