bond_type,expected_cost,cost_volatility,distress_prob,welfare,effective_yield,price
conventional,0.515005848997228,0.02013118703497706,0.9995,5.513316378380103,0.04,0.515005848997228
inflation_linked,0.48801973048595276,0.043488523804940483,0.9685,5.334302233891419,0.03523267542298106,0.48801973048595276
gdp_linked,0.5137072579357146,0.05491905538184086,0.9915,5.477239463223782,0.040181441763485364,0.5137072579357146
productivity,0.5023245921882975,0.05363706837285993,0.9885,5.450578462395567,0.038025022095987356,0.5023245921882975
hybrid,0.5362153509863926,0.05760443167807274,0.9975,5.530351892084301,0.044276367448490575,0.5362153509863926
