share,expected_cost,cost_volatility,distress_prob,welfare,effective_yield
0.0,0.515005848997228,0.02013118703497706,0.119,1.1108163783801024,0.04
0.05,0.5143717861567814,0.018363417121703324,0.1005,1.0175462163335527,0.03990125110479937
0.1,0.5137377233163349,0.017009920431558204,0.143,1.2293163981025108,0.03980250220959874
0.15,0.5131036604758884,0.016175030310452334,0.2105,1.5661269236869764,0.0397037533143981
0.2,0.5124695976354419,0.01594044308524698,0.2905,1.9654777930869498,0.039605004419197475
0.25,0.5118355347949953,0.016332046831851205,0.378,2.4023690063024308,0.039506255523996836
0.3,0.5112014719545488,0.017307388290420937,0.452,2.7718005633334197,0.039407506628796204
0.35,0.5105674091141023,0.018775716575056584,0.5305,3.1637724641799156,0.03930875773359557
0.4,0.5099333462736558,0.020632045078763896,0.5905,3.46328470884192,0.03921000883839495
0.45,0.5092992834332093,0.022781723883658858,0.6425,3.722837297319432,0.03911125994319431
0.5,0.5086652205927628,0.0251496423402846,0.689,3.954930229612451,0.039012511047993685
